area,scenario,tema,misura,motivazione
SOS,Nature@Work,Difesa Costiera,"Vengono studiati e valutati attentamente gli effetti sugli habitat bentonici e le comunità ittiche demersali degli interventi di ripascimento e adottate adeguate misure di mitigazione. Le sabbie
offshore compatibili vengono utilizzate per ripascimenti e opere di difesa costiera.",
SOS,Nature@Work,Difesa Costiera,"Sono stati individuati i tratti di costa con trend erosivi maggiori (2006-2020, ISPRA) e le
potenziali cave a mare censite all’interno dell’Area Pilota e nelle sue vicinanze",
SOS,Nature@Work,Turismo Costiero e Marittimo,"Vengono individuate aree di promozione e sviluppo (non esclusivo) di attività di turismo
esperienziale, con particolare riferimento all’ecoturismo.",
SOS,Nature@Work,Turismo Costiero e Marittimo,"Vengono individuate aree di promozione e sviluppo (non esclusivo) di attività di turismo
esperienziale, con particolare riferimento all’ecoturismo.",
SOS,Nature@Work,Pesca,"Vengono pienamente riconosciuti i “fishing grounds” esistenti per la pesca a strascico
(Russo et al., in stampa). Queste aree sono considerate nello scenario come aree con priorità per le attività di pesca, a cui gli altri usi sono subordinati e si devono adeguare, al netto di altri usi specifici e diversi previsti allo scenario medesimo (ad esempio, campi eolici).",
SOS,Nature@Work,Pesca,"L’identificazione di nuove aree per il recupero degli stock ittici procede rapidamente, sostenuta da sforzi coordinati a scala di bacino. Il controllo e la lotta alla pesca illegale
(IUU), diffusamente presente nell’area (Jarboui et al., 2022) sono attuati in modo deciso ed efficace.",
SOS,Nature@Work,Pesca,"In seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM, il
divieto di pesca a strascico viene portato da 1000 metri a 800 metri di profondità, in
quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME), sostenendo al contempo attività di pesca relativamente limitate da parte di alcuni pescherecci che
si dedicano a stock specifici di acque profonde (GFCM REC 29/2005/1).",
SOS,Nature@Work,Pesca,"La promozione di accordi e tavoli di cogestione tra la pesca artigianale e i siti N2000 diventa una pratica comune nella zona, ed è regolata dai piani di gestione delle aree di conservazione. La pesca artigianale (Grati et al., 2022), pur mantenendo lo sforzo attuale, è considerata una risorsa e gli investimenti vengono indirizzati sia sul sostegno alla formazione dei giovani pescatori, sia sulla promozione dei prodotti/eccellenze
locali. La gestione e valorizzazione della piccola pesca include un migliore monitoraggio delle attività di pesca e delle risorse ittiche costiere (nel contesto dell'aggiornamento del regolamento sul controllo, ad esempio attraverso il monitoraggio elettronico a distanza, il miglioramento della registrazione delle catture, la segnalazione delle specie sensibili) e lo stanziamento di risorse sufficienti per
valutare il rispetto delle norme ambientali e di pesca.",
SOS,Nature@Work,Pesca,"Come da Action Plan (COM(2023)102 final), si vieta la pesca a strascico con
attrezzi attivi nelle aree SIC/ZSC designate ai sensi della direttiva Habitat per la
protezione di habitat e le specie marine bentoniche.",
SOS,Nature@Work,Pesca,"Il divieto di pesca a strascico viene portato da 3 a 6 MN per tutte le imbarcazioni nel
periodo estivo. Viene invece introdotta una restrizione alla pesca ricreativa nelle ore
notturne e in aree di protezione (incluse FRA e VME), si vieta inoltre l'utilizzo di luci artificiali, e apparati ""aqualung"" con lance a mano o fucili subacquei (GFCM REC /45/2022/12).",
SOS,Nature@Work,Pesca,"Nell'area valgono le norme tecniche sulla pesca dei Piani di Gestione Locale
delle Unità Gestionali “Arcipelago delle Isole Pelagie”, “Capo Passero –
Siracusa” e “Mazara del Vallo”. In particolare, nell’Unità Gestionale “Arcipelago
delle Isole Pelagie” è proibita la pesca alle imbarcazioni di lft>24 m e con motore
superiore a 500 kw.",
SOS,Nature@Work,Pesca,"Vengono istituite 3 nuove FRA per protezione di EFH, elasmobranchi e VME (Isidella). Nelle nuove FRA, così come nelle FRA esistenti, vige oltre allo strascico anche il divieto per reti da posta e palangari (GFCM SAC 2023). Le nuove aree protette /
OECMs sono inserite in un contesto di area protetta transnazionale con Malta e
Tunisia e di istituzione di nuove FRA in acque tunisine, di cui si valuteranno per quanto
possibile gli effetti sulla sostenibilità del settore e riguardo agli stock ittici.",
SOS,Nature@Work,Pesca,Si opera per l’ammodernamento e l’efficientamento energetico della flotta peschereccia esistente tramite retrofitting per diminuire emissioni e costi per i pescatori e la sicurezza.,
SOS,Nature@Work,Pesca,"La sostenibilità economica del settore è favorita anche da interventi sull’intera catena
del valore, per ottenere un aumento del valore aggiunto del pescato (marchi e
ecolabel).",
SOS,Nature@Work,Ricerca & Innovazione,"Sono individuati e valorizzati, in un contesto mediterraneo ed europeo, i
principali siti osservativi e centri di ricerca presenti nell’area.",
SOS,Nature@Work,Energia Rinnovabile,"Viene individuata un’area OW4 (area vasta di circa 700 km2, dentro cui posizionare i 250 km2 necessari per produrre 1 GW) a oltre 25 km dalla costa, al di fuori delle acque territoriali, vicina alle attuali piattaforme O&G e fuori dall’area CCH individuata fra Malta e la Sicilia orientale. L’area è stata delimitata cercando di minimizzare i conflitti con gli habitat di fondo di pregio (in particolare presenza di VMEs e habitat di banchi e seamounts), con la pesca (inclusa la pesca di grandi pelagici con reti a circuizione) e
con le rotte di traffico NE-SW.",
SOS,Nature@Work,Energia Rinnovabile,"Anche attraverso attività di ricerca e sperimentazione, vengono promosse soluzioni innovative e a impatto ridotto da adottare nelle fasi di costruzione esercizio e decommissioning, sia per strutture a mare che per il conferimento a terra dell’energia prodotta.",
SOS,Nature@Work,Energia Rinnovabile,"L’area OW4 ha una presenza non trascurabile di avifauna marina, ma è al di fuori della principale rotta migratoria fra Italia-Sicilia-Tunisia (www.medgsr.org; Tattoni e Ciolli, 2019). ISPRA (ISPRA, 2021) le attribuisce una sensibilità media rispetto ai movimenti migratori, mentre è bassa la sensibilità rispetto ai movimenti in periodo riproduttivo. L’area è interdetta alla pesca e alla navigazione.",
SOS,Nature@Work,Energia Rinnovabile,"I porti principali di riferimento a terra per attività di costruzione e manutenzione sono Taranto e Augusta e, in seconda battuta, Porto Empedocle e Gela, per i quali si assume la realizzazione di infrastrutture di supporto in tempi compatibili con
le esigenze di costruzione e manutenzione.",
SOS,Nature@Work,Paesaggio e patrimonio culturale,"All’interno delle aree già mappate nel Piano MSP congiuntamente con MIC e la Soprintendenza (patrimonio subacqueo – Relitti, beni archeologici e architettonici), vengono individuate in particolare 2 aree di interesse per lo scenario in oggetto: Campobello di Mazara – Ribera; Marzamemi – Portopalo). All’interno di queste aree potrebbe essere valutata la creazione di «Parchi Archeologici Subacquei».",
SOS,Blue Development,Energia,"Sono individuate 3 aree (OW1, OW2, OW4) (aree ampie complessivamente circa 1770
km2 dentro cui posizionare i 750 km2 totali necessari), oltre 25 km dalla costa, al di fuori delle acque territoriali. Le aree sono state delimitate cercando di minimizzare i conflitti con gli habitat di fondo di pregio (in particolare presenza di VMEs e habitat di banchi e seamounts), con la pesca (inclusa la pesca di grandi pelagici con reti a circuizione) e con le rotte di traffico NE-SW.",
SOS,Blue Development,Energia,"In particolare, l’area OW2, ampia complessivamente circa 540 km2, ospita impianti integrati e si configura come un’’isola energetica”. L’area ospita sia OWF che WEC (Wave Energy Converters), e al suo interno ospita impianti di acquacoltura offshore.
L’energia prodotta viene trasformata in idrogeno/metanolo e/o ricarica batterie e viene
quindi utilizzata come combustibili alternativi per le navi in transito. Si introducono sistemi integrati per contenere i costi dell’eolico anche a lungo termine, grazie
all’integrazione di WEC, nonchè floating-breakwaters per mitigare gli effetti delle mareggiate sulle infrastrutture. I WEC forniscono energia “in loco” per le attività dell’isola energetica, ma fungono anche da barriere artificiali per proteggere gli impianti
eolici che possono quindi essere realizzati senza ancoraggi e con materiali a basso costo. Non si prevede il conferimento a terra dell’energia prodotta, minimizzando l’impatto ambientale a terra e sul fondale.",
SOS,Blue Development,Energia,"Le aree sono interdette alla navigazione commerciale e passeggeri, mentre è
consentito l’accesso in alcune aree, in sicurezza e previa autorizzazione da parte dell’Autorità Marittima, per attività diverse dall’eolico. Nelle aree in cui si sviluppano impianti eolici, viene infatti promossa la sinergia e il multiuso con il settore della pesca, attraverso l’utilizzo di attrezzi che possano essere utilizzati in sicurezza all’interno delle
OWF (per esempio, non con reti a strascico o reti da tonno e piccoli pelagici),
l’acquacoltura e il turismo (in OW4).",
SOS,Blue Development,Energia,"I porti principali di riferimento a terra per attività di costruzione e manutenzione sono Taranto e Augusta e, in seconda battuta, Gela, Porto Empedocle, Mazzara del Vallo e
Pozzallo. Gli hub principali di appoggio subiscono trasformazioni e migliorie logistiche, ma anche una maggior efficienza di servizi e un rinnovamento infrastrutturale.
Anche attraverso attività di ricerca e sperimentazione, vengono promosse soluzioni innovative e a impatto ridotto da adottare nelle fasi di costruzione esercizio e decommissioning, sia per strutture a mare che per il conferimento a terra dell’energia prodotta.",
SOS,Blue Development,Energia,"E’ noto come l’area marittima dello Ionio-Mediterraneo Centrale sia una delle più importanti del Mediterraneo per l’avifauna (Piano dello Spazio Marittimo - Area Marittima “Ionio - Mediterraneo Centrale”, 2024, Lipu e Ispra, 2015; www.medgsr.org). Nell’area riveste particolare importanza per gli uccelli il gruppo di isole situato in posizione strategica nello stretto di mare tra la Sicilia e la Tunisia. Queste isole sostengono grandi colonie di procellariformi, in particolare berte maggiori e minori e uccelli delle tempeste, Due rotte migratorie principali coinvolgono l’intero
flusso migratorio sull’Europa, connettendo la Tunisia con la Sardegna e con la Sicilia occidentale (Tattoni e Ciolli, 2019).
Le aree OW1-OW2-OW4 hanno una presenza non trascurabile di avifauna marina, in
particolare OW2 (www.medgsr.org), ma sono al di fuori della principale rotta
migratoria fra Italia-Sicilia-Tunisia (www.medgsr.org; Tattoni e Ciolli, 2019). ISPRA (ISPRA, 2021) attribuisce alle aree in cui si trovano OW1 e OW2 una sensibilità alta
rispetto ai movimenti migratori, mentre la sensibilità è media in OW4. Inoltre, la sensibilità rispetto ai movimenti in periodo riproduttivo è bassa in tutte e tre le aree.",
SOS,Blue Development,Energia,"L’“isola energetica” realizzata in OW2 funge da punto di rifornimento per combustibili alternativi (idrogeno, metanolo, ed elettrico) per diminuire gli impatti e le pressioni nelle aree costiere e di snodo portuale. La stessa installazione di un'isola energetica nel corridoio di traffico comporta anche una conseguente diminuzione della velocità delle navi in transito, in linea con il limite di 10 nodi proposto per la subarea della PSSA
e con associati benefici ambientali (e.g. riduzione del rumore e delle collisioni con
megafauna).",
SOS,Blue Development,Energia,"La presenza delle 3 aree OW1, OW2 e OW4 all’interno del corridoio di traffico NW-SE
richiederà di approfondire aspetti di sostenibilità economica e di sicurezza del
trasporto marittimo nell’area, individuando eventuali ulteriori misure di
regolamentazione (ad esempio, TSS).",
SOS,Blue Development,Protezione Ambientale,"I seamounts (Wurtz e Rovere, 2015) già considerati nello scenario SP sono qui classificati come AMP a protezione rigorosa, come in N@W. Vengono istituite 2 nuove AMP in corrispondenza delle aree di reperimento esistenti (Isola di Pantelleria e Banchi di Graham, Pantelleria e Avventura). Le Zone A e Bs di queste AMP (o le intere AMP, con misure di conservazione rafforzate) costituiscono aree a protezione rigorosa.",
SOS,Blue Development,Protezione Ambientale,"Vengono istituite 2 nuove FRA per protezione di EFH, elasmobranchi e VME (Isidella). Le nuove aree protette / OECMs sono inserite in un contesto di area protetta
transnazionale con Malta e Tunisia e di istituzione di nuove FRA in acque tunisine, di cui si valuteranno gli effetti sulla sostenibilità del settore e riguardo agli stock ittici.",
SOS,Blue Development,Protezione Ambientale,"All'interno della nuova PSSA proposta (cfr. trasporto marittimo) viene individuata un'area, circa corrispondente all'attuale CCH, in cui la velocità delle navi in transito è
limitata a 10 nodi, anche in considerazione della creazione di campi eolici (OW2,
Arcipelago energetico) nell’area fra Pozzallo e Malta.",
SOS,Blue Development,Protezione Ambientale,"In seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM, il
limite di pesca a strascico viene esteso da 1000 metri a 800 metri di profondità, in quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME), sostenendo al contempo attività di pesca relativamente limitate da parte di alcuni pescherecci che
si dedicano a stock specifici di acque profonde (GFCM REC 29/2005/1).",
SOS,Blue Development,Protezione Ambientale,"Come da Action Plan (COM(2023)102 final), si vieta la pesca a strascico con
attrezzi attivi nelle aree SIC/ZSC designate ai sensi della direttiva Habitat per la
protezione di habitat e le specie marine bentoniche.",
SOS,Blue Development,Protezione Ambientale,"Viene istituita attraverso un processo progressivo e concertato una riserva della biosfera transnazionale, una MAB UNESCO (https://www.unesco.org/en/mab), che si estende da Capo Passero a Kerkennah nel Golfo di Gabes, in Tunisia, ricomprendendo Pantelleria, le Pelagie e Malta.",
SOS,Blue Development,Protezione Ambientale,"anche considerando l’ipotesi che l’intera area delle AMP possa essere considerata come area a protezione rigorosa, verrebbe raggiunto solamente l’1,4% dell’area, rimanendo lontani dall’obiettivo del 10% (cfr. par.4.10).",
SOS,Blue Development,Pesca,"Vengono pienamente riconosciuti i “fishing grounds” esistenti per la pesca a strascico
(Russo et al., in stampa). Queste aree sono considerate nello scenario come aree con priorità per le attività di pesca, a cui gli altri usi sono subordinati e si devono adeguare, al netto di altri usi specifici e diversi previsti allo scenario medesimo (ad esempio, campi eolici).",
SOS,Blue Development,Pesca,"Il controllo e la lotta alla pesca illegale (IUU), diffusamente presente nell’area (Jarboui et al., 2022) sono attuati in modo deciso ed efficace.",
SOS,Blue Development,Pesca,"La pesca artigianale (Grati et al., 2022) è considerata una risorsa e viene incrementata
(+9% rispetto all’attuale); gli investimenti vengono indirizzati sia sul sostegno alla formazione dei giovani pescatori, sia sulla promozione dei prodotti/eccellenze locali.
La promozione di accordi e tavoli di cogestione tra la pesca artigianale e i siti N2K diventa una pratica comune nella zona, ed è regolata dai piani di gestione delle aree di conservazione. Viene attuata una adeguata sorveglianza di tali aree, considerandola un
importante prerequisito per aumentare la resa all'interno dell'area.",
SOS,Blue Development,Pesca,"Nelle aree in cui si sviluppano impianti eolici, viene promossa la sinergia e il multiuso con il settore della pesca, attraverso l’utilizzo di attrezzi che possano essere utilizzati in sicurezza all’interno delle OWF (per esempio, non con reti a strascico o reti da tonno
e piccoli pelagici).",
SOS,Blue Development,Pesca,"Nelle aree in cui si sviluppano impianti eolici, viene promossa la sinergia e il multiuso con il settore della pesca, attraverso l’utilizzo di attrezzi che possano essere utilizzati in sicurezza all’interno delle OWF (per esempio, non con reti a strascico o reti da tonno
e piccoli pelagici).",
SOS,Blue Development,Pesca,"In seguito al completamento delle valutazioni sulle aree pilota identificate da GFCM, il
divieto di pesca a strascico viene portato da 1000 metri a 800 metri di profondità, in
quanto queste aree possono ospitare ecosistemi marini vulnerabili (VME), sostenendo al contempo attività di pesca relativamente limitate da parte di alcuni pescherecci che
si dedicano a stock specifici di acque profonde (GFCM REC 29/2005/1).",
SOS,Blue Development,Pesca,"Vengono istituite 2 nuove FRA per protezione di EFH, elasmobranchi e VME (Isidella). Nelle nuove FRA, così come nelle FRA esistenti, vige oltre allo strascico anche il divieto
per reti da posta e palangari (GFCM SAC 2023). Le nuove aree protette / OECMs sono inserite in un contesto di area protetta transnazionale con Malta e Tunisia e di
istituzione di nuove FRA in acque tunisine, di cui si valuteranno per quanto possibile gli
effetti sulla sostenibilità del settore e riguardo agli stock ittici.",
SOS,Blue Development,Pesca,"Viene posta una restrizione alla pesca ricreativa nelle ore notturne e in aree di protezione (incluse FRA e VME), si vieta inoltre l'utilizzo di luci artificiali, e apparati ""aqualung"" con lance a mano o fucili subacquei (GFCM REC /45/2022/12).",
SOS,Blue Development,Pesca,"La flotta navale viene progressivamente sostituita da nuove navi, che presentano una
migliore efficienza energetica. Le strutture portuali per il trattamento dei rifiuti/riciclaggio, con riferimento in particolare agli scarti delle attività di pesca e alle plastiche pescate in mare, sono sviluppate in modo omogeneo all'interno del bacino, sulla base dell'uso continuativo dei fondi strutturali.",
SOS,Blue Development,Pesca,"La sostenibilità economica del settore è favorita anche da interventi sull’intera catena
del valore, per ottenere un aumento del valore aggiunto del pescato (marchi e
ecolabel).",
SOS,Blue Development,Acquacultura,"Vengono individuate per lo sviluppo di impianti di acquacoltura alcune aree intorno alla batimetrica dei 30 m, entro 3 mn dalla costa, selezionate fra le «aree vocate» del
Decreto regionale 103/GAB del 25/06/2021.",
SOS,Blue Development,Difesa Costiera,"Vengono studiati e valutati attentamente gli effetti sugli habitat bentonici e le comunità ittiche demersali degli interventi di ripascimento e adottate adeguate misure di
mitigazione. Le sabbie offshore compatibili, anche da cave profonde >100 mt, vengono utilizzate per ripascimenti e opere di difesa costiera.",
SOS,Blue Development,Difesa Costiera,"Sono stati individuati i tratti di costa con i maggiori trend erosivi (2006-2020, ISPRA) e
le potenziali cave a mare censite nell’area, anche oltre 100 mt di profondità. Altre cave potenzialmente utilizzabili sono state individuate nel Golfo di Palermo e di Termini
Imerese.",
SOS,Blue Development,Difesa Costiera,"In collegamento con interventi sulle aree protette e nuove misure di conservazione,
vengono introdotte specifiche misure per ridurre l'impatto delle barche da diporto sui fondali.",
SOS,Blue Development,Difesa Costiera,"Vengono promosse soluzioni innovative e tecnologie per la gestione ambientale dei marina (e.g. energia, gestione dei rifiuti e dei reflui).",
SOS,Blue Development,Difesa Costiera,"Vengono individuate aree di promozione e sviluppo (non esclusivo) di attività di turismo
esperienziale, con particolare riferimento all’ecoturismo. Le aree protette esistenti e di nuova istituzione sono, con limitazioni particolari nelle aree a protezione rigorosa,
luoghi di promozione di ecoturismo.",
SOS,Blue Development,Difesa Costiera,"Viene promosso il turismo multiuso con impianti eolici, in particolare nell’area OW4, e
sono individuate le principali darsene da diporto, per interventi di efficientamento ambientale.",
SOS,Blue Development,Difesa Costiera,"Sono individuati e valorizzati, in un contesto mediterraneo ed europeo, i principali siti
osservativi e centri di ricerca presenti nell’area.",
SOS,Blue Development,Difesa Costiera,"All’interno delle aree già mappate nel Piano MSP congiuntamente con MIC e la Soprintendenza (patrimonio subacqueo – Relitti, beni archeologici e architettonici), vengono individuate in particolare 2 aree di interesse per lo scenario in oggetto: Campobello di Mazara – Ribera; Marzamemi – Portopalo). All’interno di queste aree potrebbe essere valutata la creazione di «Parchi Archeologici Subacquei».",
NAS,Slow Pace,Protezione Ambientale,"Vengono istituite due nuove aree marine protette in corrispondenza delle aree marine
di reperimento Costa del Monte Conero e Costa del Piceno.",
NAS,Slow Pace,Protezione Ambientale,"Il sito N2K Adriatico settentrionale – Emilia-Romagna (IT4060018) viene esteso verso
terra.",
NAS,Slow Pace,Protezione Ambientale,"Gli interventi di restauro ambientale sono molto ridotti e in grande prevalenza di tipo
passivo (REG.UE 2024/1991 del 17/06/24).",
NAS,Slow Pace,Protezione Ambientale,L’obiettivo del 30% di aree soggette e tutela non viene raggiunto (cfr. par. Valutazione preliminare delle aree oggetto di protezione rispetto agli obiettivi della Strategia sulla Biodiversità 2030).,
NAS,Slow Pace,Trasporto marittimo,"Non sono previste nuove e specifiche misure di tipo spaziale. Sono attese riduzioni delle emissioni di gas serra (GHG) e di composti di zolfo, in linea con gli obiettivi e le prescrizioni di EU Green Deal (riduzione del 90% delle emissioni di GHG al 2050) e IMO-MED-SECA, attraverso la progressiva adozione di misure di mitigazione (ad
esempio, elettrificazione delle banchine, nuovi carburanti).",
